type_id,display_name,category,range_nm,cruise_speed_kts,fuel_burn_gph,mtow_lbs,runway_req_ft,purchase_price,weekly_lease_cost,eec,maintenance_interval_weeks
PC12,Pilatus PC-12,TURBOPROP,1800,285,66,10450,2650,1800000,18000,9,null
BN2P,Britten-Norman BN-2 Islander,TURBOPROP,756,135,32,6600,1200,2000000,20000,9,null
FA50,Dassault Falcon 50,REGIONAL_JET,3100,468,220,40780,4700,2800000,28000,9,null
BE20,Beechcraft Super King Air 200,TURBOPROP,1580,289,95,12500,2110,1900000,19000,10,null
GL5T,Bombardier Global 5000,REGIONAL_JET,5200,488,450,92500,5500,7000000,70000,13,null
C208,Cessna Caravan,TURBOPROP,1070,186,55,8000,2055,2500000,25000,14,null
TRIS,Britten-Norman MKIII Trislander,TURBOPROP,868,150,45,10000,1950,4000000,40000,17,null
DHC6,Bombardier DHC-6-400,TURBOPROP,790,170,75,12500,1200,5200000,52000,19,null
L410,Let L-410NG,TURBOPROP,1390,225,90,15400,1950,5000000,50000,19,null
B190,Beechcraft 1900D,TURBOPROP,1350,280,130,17120,3800,2400000,24000,19,null
GL7T,Bombardier Global 7500,REGIONAL_JET,7700,488,500,114850,5800,13000000,130000,19,null
C750,Cessna Citation X,REGIONAL_JET,3460,525,330,36100,5140,4500000,45000,9,null
A140,Antonov An-140,TURBOPROP,1250,250,180,42220,4500,16000000,160000,52,null
DH8C,Bombardier DHC-8-300,TURBOPROP,840,285,185,43000,3800,22000000,220000,56,null
SB20,Saab 2000,TURBOPROP,1545,370,260,50265,4500,24500000,245000,58,null
F50,Fokker 50,TURBOPROP,1080,270,180,45900,4500,24000000,240000,60,null
I114,Ilyushin Il-114-100,TURBOPROP,1500,270,200,51809,4500,19000000,190000,64,null
ERJ170,Embraer ERJ170,REGIONAL_JET,2150,450,420,85517,5394,31500000,315000,72,null
CRJ7,Bombardier CRJ700,REGIONAL_JET,1378,444,420,72750,5265,42000000,420000,78,null
AT76,ATR 72-600,TURBOPROP,825,275,190,50706,4314,26000000,260000,78,null
E175,Embraer ERJ175,REGIONAL_JET,2200,450,490,89000,4134,35000000,350000,78,null
F70,Fokker 70,REGIONAL_JET,1840,455,520,88000,5500,32500000,325000,79,null
TU34,Tupolev Tu-134,NARROW,1600,450,750,103600,7200,31000000,310000,84,null
A148,Antonov An148,REGIONAL_JET,1900,430,450,91500,5500,30000000,300000,85,null
DH8D,Bombardier DHC-8-400,TURBOPROP,1100,360,328,67200,4600,31000000,310000,86,null
E170,Embraer EMB170-200,REGIONAL_JET,2150,450,420,85517,5394,32000000,320000,88,null
E752,Embraer E175-E2,REGIONAL_JET,2060,450,400,98767,5500,35000000,350000,88,null
MRJ1,Mitsubishi MRJ-100,REGIONAL_JET,2000,440,390,94357,5500,68000000,680000,88,null
ARJ2,Comac ARJ21,REGIONAL_JET,2000,430,450,95900,5500,45000000,450000,90,null
CRJ9,Bombardier CRJ900,REGIONAL_JET,1550,447,447,84500,6360,45000000,450000,90,null
MRJ9,Mitsubishi MRJ-90,REGIONAL_JET,2040,440,390,87303,5500,75000000,750000,92,null
B462,BAe 146-200,REGIONAL_JET,1500,410,650,93000,5000,39000000,390000,100,null
E190,Embraer EMB190,REGIONAL_JET,2450,450,550,114199,4800,40000000,400000,100,null
CRJX,Bombardier CRJ1000,REGIONAL_JET,1620,447,460,91800,6600,50000000,500000,104,null
E902,Embraer E190-E2,REGIONAL_JET,2850,450,480,124340,5000,45000000,450000,106,null
SU95,Sukhoi Superjet 100,REGIONAL_JET,1645,440,520,101080,5700,38000000,380000,108,null
F100,Fokker 100,REGIONAL_JET,1710,455,600,101000,5500,39000000,390000,109,null
IL18,Ilyushin Il-18,TURBOPROP,3500,320,500,141000,6000,31000000,310000,120,null
YK42,Yakovlev Yak-42,NARROW,2100,400,800,126765,7000,31000000,310000,120,null
B731,Boeing 737-100,NARROW,1540,420,750,110000,6500,40000000,400000,124,null
CONC,Concorde,WIDE,3900,1150,5600,408000,11800,220000000,2200000,144,null
A318,Airbus A318,NARROW,3100,447,700,149900,5500,90000000,900000,132,null
BCS1,Bombardier CS100,NARROW,3100,447,550,134000,4800,80000000,800000,133,null
B712,Boeing 717-200,NARROW,2060,438,650,121000,6000,52500000,525000,134,null
B732,Boeing 737-200,NARROW,2600,420,800,115500,6500,59000000,590000,136,null
B735,Boeing 737-500,NARROW,2375,430,700,133000,6000,80000000,800000,140,null
B737C,Boeing 737-700C,NARROW,3200,453,780,154500,6690,85000000,850000,140,null
E952,Embraer E195-E2,REGIONAL_JET,2600,450,520,135584,5200,60400000,604000,146,null
B733,Boeing 737-300,NARROW,2255,430,750,138500,6500,75000000,750000,149,null
B736,Boeing 737-600,NARROW,3200,453,780,143500,6000,82500000,825000,149,null
B737,Boeing 737-700,NARROW,3010,453,780,154500,6690,85000000,850000,149,null
B737ER,Boeing 737-700ER,NARROW,5500,453,800,171000,7000,90000000,900000,149,null
MD81,McDonnell Douglas MD-81,NARROW,1565,438,900,140000,7200,75000000,750000,150,null
A319,Airbus A319,NARROW,3750,447,720,166000,6000,95000000,950000,156,null
