iata,icao,name,city,country,lat,lon,runway_length_ft,gate_count,timezone,score,category
AAT,ZWAT,Altay Xuedu Airport,Altay,CN,47.749700,88.083300,9186,10,Asia/Urumqi,200000,medium_airport
ABE,KABE,Lehigh Valley International Airport,Allentown/Bethlehem,US,40.651773,-75.442797,7600,45,America/New_York,780000,medium_airport
ABI,KABI,Abilene Regional Airport,Abilene,US,32.411301,-99.6819,7202,25,America/Chicago,85000,small_airport
ABL,PAFM,Ambler Airport,Ambler,US,67.105529,-157.855339,3000,25,Pacific/Honolulu,5000,small_airport
ABQ,KABQ,Albuquerque International Sunport,Albuquerque,US,35.039976,-106.608925,13793,80,America/Denver,820000,medium_airport
ABR,KABR,Aberdeen Regional Airport,Aberdeen,US,45.4491,-98.421799,6901,25,America/Chicago,35000,small_airport
ABU,WATA,A.A. Bere Tallo Airport,Atambua,ID,-9.055830,124.908997,3937,1,Asia/Makassar,25000,small_airport
ABX,YMAY,Albury Airport,Albury,AU,-36.068300,146.957993,6234,3,Australia/Sydney,65000,medium_airport
ABY,KABY,Southwest Georgia Regional Airport,Albany,US,31.532946,-84.196215,6601,25,America/New_York,38000,small_airport
ABZ,EGPD,Aberdeen Airport,Aberdeen,GB,57.201944,-2.197778,6401,15,Europe/London,380000,large_airport
ACA,MMAA,Acapulco International Airport,Acapulco,MX,16.757100,-99.754000,10827,10,America/Mexico_City,260000,medium_airport
ACI,EGJA,Alderney Airport,Alderney,GG,49.706111,-2.214722,2887,2,Europe/London,5000,small_airport
ACK,KACK,Nantucket Memorial Airport,Nantucket,US,41.253101,-70.060204,6303,25,America/New_York,110000,medium_airport
ACT,KACT,Waco Regional Airport,Waco,US,31.6113,-97.230499,6596,25,America/Chicago,65000,small_airport
ACU,MPAC,Achutupo Airport,Achutupo,PA,9.198060,-77.986099,1500,1,America/Panama,8000,small_airport
ACV,KACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US,40.978101,-124.109,6000,25,America/Anchorage,75000,small_airport
ACY,KACY,Atlantic City International Airport,Atlantic City,US,39.456201,-74.577511,10000,45,America/New_York,520000,medium_airport
ADD,HAAB,Addis Ababa Bole International Airport,Addis Ababa,ET,8.977890,38.799301,12467,40,Africa/Addis_Ababa,920000,large_airport
