origin_iata,dest_iata,anchor_annual,anchor_weekly,years_used,first_year,last_year,method
MEL,SYD,4661587.19,89645.9074,8,2015,2025,au_trend_wm_max_recent_v2
SYD,MEL,4661587.19,89645.9074,8,2015,2025,au_trend_wm_max_recent_v2
BNE,SYD,2422445.29,46585.4863,8,2015,2025,au_trend_wm_max_recent_v2
SYD,BNE,2422445.29,46585.4863,8,2015,2025,au_trend_wm_max_recent_v2
BNE,MEL,1815106.68,34905.8976,8,2015,2025,au_trend_wm_max_recent_v2
MEL,BNE,1815106.68,34905.8976,8,2015,2025,au_trend_wm_max_recent_v2
OOL,SYD,1388625.96,26704.3454,8,2015,2025,au_trend_wm_max_recent_v2
SYD,OOL,1388625.96,26704.3454,8,2015,2025,au_trend_wm_max_recent_v2
ADL,MEL,1269030.0,24404.4231,8,2015,2025,au_trend_wm_max_recent_v2
MEL,ADL,1269030.0,24404.4231,8,2015,2025,au_trend_wm_max_recent_v2
MEL,PER,1057692.49,20340.2402,8,2015,2025,au_trend_wm_max_recent_v2
PER,MEL,1057692.49,20340.2402,8,2015,2025,au_trend_wm_max_recent_v2
MEL,OOL,1046949.32,20133.6407,8,2015,2025,au_trend_wm_max_recent_v2
OOL,MEL,1046949.32,20133.6407,8,2015,2025,au_trend_wm_max_recent_v2
ADL,SYD,972394.56,18699.8954,8,2015,2025,au_trend_wm_max_recent_v2
SYD,ADL,972394.56,18699.8954,8,2015,2025,au_trend_wm_max_recent_v2
PER,SYD,875625.12,16838.9446,8,2015,2025,au_trend_wm_max_recent_v2
SYD,PER,875625.12,16838.9446,8,2015,2025,au_trend_wm_max_recent_v2
HBA,MEL,835090.0,16059.4231,8,2015,2025,au_trend_wm_max_recent_v2
MEL,HBA,835090.0,16059.4231,8,2015,2025,au_trend_wm_max_recent_v2
SYD,AKL,804668.0,15474.3846,8,2015,2025,au_trend_wm_max_recent_v2
AKL,SYD,797564.0,15337.7692,8,2015,2025,au_trend_wm_max_recent_v2
SIN,SYD,783712.51,15071.3945,8,2015,2025,au_trend_wm_max_recent_v2
SIN,MEL,781488.52,15028.6253,8,2015,2025,au_trend_wm_max_recent_v2
MEL,SIN,765255.51,14716.4522,8,2015,2025,au_trend_wm_max_recent_v2
SYD,SIN,756599.51,14549.9907,8,2015,2025,au_trend_wm_max_recent_v2
BNE,CNS,673267.32,12947.4485,8,2015,2025,au_trend_wm_max_recent_v2
CNS,BNE,673267.32,12947.4485,8,2015,2025,au_trend_wm_max_recent_v2
AKL,MEL,629946.0,12114.3462,8,2015,2025,au_trend_wm_max_recent_v2
MEL,AKL,621511.0,11952.1346,8,2015,2025,au_trend_wm_max_recent_v2
CBR,MEL,589362.67,11333.8975,8,2015,2025,au_trend_wm_max_recent_v2
MEL,CBR,589362.67,11333.8975,8,2015,2025,au_trend_wm_max_recent_v2
SIN,PER,581255.25,11177.9855,8,2015,2025,au_trend_wm_max_recent_v2
PER,SIN,574709.46,11052.105,8,2015,2025,au_trend_wm_max_recent_v2
HKG,SYD,562078.18,10809.1958,8,2015,2025,au_trend_wm_max_recent_v2
CNS,SYD,558989.62,10749.8003,8,2015,2025,au_trend_wm_max_recent_v2
SYD,CNS,558989.62,10749.8003,8,2015,2025,au_trend_wm_max_recent_v2
SYD,HKG,557001.03,10711.5582,8,2015,2025,au_trend_wm_max_recent_v2
BNE,TSV,507944.7,9768.1673,8,2015,2025,au_trend_wm_max_recent_v2
TSV,BNE,507944.7,9768.1673,8,2015,2025,au_trend_wm_max_recent_v2
BNE,PER,494052.61,9501.0117,8,2015,2025,au_trend_wm_max_recent_v2
PER,BNE,494052.61,9501.0117,8,2015,2025,au_trend_wm_max_recent_v2
BNE,AKL,486678.72,9359.2062,8,2015,2025,au_trend_wm_max_recent_v2
CBR,SYD,486027.96,9346.6915,8,2015,2025,au_trend_wm_max_recent_v2
SYD,CBR,486027.96,9346.6915,8,2015,2025,au_trend_wm_max_recent_v2
AKL,BNE,485243.58,9331.6073,8,2015,2025,au_trend_wm_max_recent_v2
LST,MEL,479580.0,9222.6923,8,2015,2025,au_trend_wm_max_recent_v2
MEL,LST,479580.0,9222.6923,8,2015,2025,au_trend_wm_max_recent_v2
LAX,SYD,466714.08,8975.2707,8,2015,2025,au_trend_wm_max_recent_v2
DPS,PER,455954.28,8768.3515,8,2015,2025,au_trend_wm_max_recent_v2
PER,DPS,450832.86,8669.8627,8,2015,2025,au_trend_wm_max_recent_v2
SYD,LAX,441463.0,8489.6731,8,2015,2025,au_trend_wm_max_recent_v2
ADL,BNE,431723.16,8302.3685,8,2015,2025,au_trend_wm_max_recent_v2
BNE,ADL,431723.16,8302.3685,8,2015,2025,au_trend_wm_max_recent_v2
SIN,BNE,431460.12,8297.31,8,2015,2025,au_trend_wm_max_recent_v2
BNE,SIN,429534.24,8260.2738,8,2015,2025,au_trend_wm_max_recent_v2
CNS,MEL,427938.0,8229.5769,8,2015,2025,au_trend_wm_max_recent_v2
MEL,CNS,427938.0,8229.5769,8,2015,2025,au_trend_wm_max_recent_v2
DPS,MEL,414762.25,7976.1971,8,2015,2025,au_trend_wm_max_recent_v2
DXB,SYD,414155.52,7964.5293,8,2015,2025,au_trend_wm_max_recent_v2
KUL,MEL,413679.0,7955.3654,8,2015,2025,au_trend_wm_max_recent_v2
MEL,HKG,405819.46,7804.2205,8,2015,2025,au_trend_wm_max_recent_v2
MEL,DPS,403034.03,7750.6545,8,2015,2025,au_trend_wm_max_recent_v2
HKG,MEL,397749.08,7649.0208,8,2015,2025,au_trend_wm_max_recent_v2
SYD,DXB,390794.09,7515.271,8,2015,2025,au_trend_wm_max_recent_v2
MEL,KUL,390785.0,7515.0962,8,2015,2025,au_trend_wm_max_recent_v2
BNE,MKY,365313.2,7025.2539,8,2015,2025,au_trend_wm_max_recent_v2
MKY,BNE,365313.2,7025.2539,8,2015,2025,au_trend_wm_max_recent_v2
HBA,SYD,364448.0,7008.6154,8,2015,2025,au_trend_wm_max_recent_v2
SYD,HBA,364448.0,7008.6154,8,2015,2025,au_trend_wm_max_recent_v2
MCY,SYD,349592.35,6722.9298,8,2015,2025,au_trend_wm_max_recent_v2
SYD,MCY,349592.35,6722.9298,8,2015,2025,au_trend_wm_max_recent_v2
KUL,SYD,347946.48,6691.2785,8,2015,2025,au_trend_wm_max_recent_v2
DXB,MEL,339526.0,6529.3462,8,2015,2025,au_trend_wm_max_recent_v2
DPS,SYD,338343.0,6506.5962,8,2015,2025,au_trend_wm_max_recent_v2
MCY,MEL,336308.72,6467.4754,8,2015,2025,au_trend_wm_max_recent_v2
MEL,MCY,336308.72,6467.4754,8,2015,2025,au_trend_wm_max_recent_v2
SYD,DPS,334507.0,6432.8269,8,2015,2025,au_trend_wm_max_recent_v2
ICN,SYD,327492.12,6297.9253,8,2015,2025,au_trend_wm_max_recent_v2
SYD,KUL,326218.44,6273.4315,8,2015,2025,au_trend_wm_max_recent_v2
ADL,PER,323911.2,6229.0615,8,2015,2025,au_trend_wm_max_recent_v2
PER,ADL,323911.2,6229.0615,8,2015,2025,au_trend_wm_max_recent_v2
MEL,DXB,320986.0,6172.8077,8,2015,2025,au_trend_wm_max_recent_v2
SYD,ICN,315724.17,6071.6187,8,2015,2025,au_trend_wm_max_recent_v2
BNE,CBR,309133.01,5944.8656,8,2015,2025,au_trend_wm_max_recent_v2
CBR,BNE,309133.01,5944.8656,8,2015,2025,au_trend_wm_max_recent_v2
BKK,SYD,303066.93,5828.2103,8,2015,2025,au_trend_wm_max_recent_v2
LAX,MEL,298926.69,5748.5901,8,2015,2025,au_trend_wm_max_recent_v2
BNE,NTL,297226.98,5715.9035,8,2015,2025,au_trend_wm_max_recent_v2
NTL,BNE,297226.98,5715.9035,8,2015,2025,au_trend_wm_max_recent_v2
KUL,PER,291793.86,5611.4204,8,2015,2025,au_trend_wm_max_recent_v2
MEL,LAX,290007.34,5577.0642,8,2015,2025,au_trend_wm_max_recent_v2
SYD,BKK,274291.56,5274.8376,8,2015,2025,au_trend_wm_max_recent_v2
BNE,ROK,269728.0,5187.0769,8,2015,2025,au_trend_wm_max_recent_v2
ROK,BNE,269728.0,5187.0769,8,2015,2025,au_trend_wm_max_recent_v2
PER,KUL,266533.93,5125.6526,8,2015,2025,au_trend_wm_max_recent_v2
NAN,SYD,264088.0,5078.6154,8,2015,2025,au_trend_wm_max_recent_v2
SYD,CHC,259594.08,4992.1938,8,2015,2025,au_trend_wm_max_recent_v2
SYD,NAN,259450.0,4989.4231,8,2015,2025,au_trend_wm_max_recent_v2
SYD,AUH,253556.0,4876.0769,8,2015,2025,au_trend_wm_max_recent_v2
SYD,NRT,251490.18,4836.3496,8,2015,2025,au_trend_wm_max_recent_v2
KTA,PER,251152.92,4829.8639,8,2015,2025,au_trend_wm_max_recent_v2
PER,KTA,251152.92,4829.8639,8,2015,2025,au_trend_wm_max_recent_v2
AUH,SYD,248716.38,4783.0073,8,2015,2025,au_trend_wm_max_recent_v2
NRT,SYD,245401.8,4719.2654,8,2015,2025,au_trend_wm_max_recent_v2
CHC,SYD,245344.01,4718.154,8,2015,2025,au_trend_wm_max_recent_v2
MEL,NTL,241698.0,4648.0385,8,2015,2025,au_trend_wm_max_recent_v2
NTL,MEL,241698.0,4648.0385,8,2015,2025,au_trend_wm_max_recent_v2
PVG,SYD,233270.63,4485.9736,8,2015,2025,au_trend_wm_max_recent_v2
BKK,MEL,232301.61,4467.3387,8,2015,2025,au_trend_wm_max_recent_v2
SYD,PVG,226662.0,4358.8846,8,2015,2025,au_trend_wm_max_recent_v2
DXB,PER,222859.8,4285.7654,8,2015,2025,au_trend_wm_max_recent_v2
HNL,SYD,222036.0,4269.9231,8,2015,2025,au_trend_wm_max_recent_v2
DXB,BNE,219905.64,4228.9547,8,2015,2025,au_trend_wm_max_recent_v2
MNL,SYD,218236.38,4196.8536,8,2015,2025,au_trend_wm_max_recent_v2
SYD,HNL,217525.0,4183.1731,8,2015,2025,au_trend_wm_max_recent_v2
MEL,BKK,216893.43,4171.0274,8,2015,2025,au_trend_wm_max_recent_v2
BNK,SYD,216638.0,4166.1154,8,2015,2025,au_trend_wm_max_recent_v2
SYD,BNK,216638.0,4166.1154,8,2015,2025,au_trend_wm_max_recent_v2
PER,PHE,215228.81,4139.0156,8,2015,2025,au_trend_wm_max_recent_v2
PHE,PER,215228.81,4139.0156,8,2015,2025,au_trend_wm_max_recent_v2
BNE,DXB,215005.66,4134.7243,8,2015,2025,au_trend_wm_max_recent_v2
PER,DXB,210093.48,4040.2592,8,2015,2025,au_trend_wm_max_recent_v2
SYD,CAN,208062.94,4001.2105,8,2015,2025,au_trend_wm_max_recent_v2
CAN,SYD,207153.7,3983.725,8,2015,2025,au_trend_wm_max_recent_v2
SYD,MNL,205571.6,3953.2999,8,2015,2025,au_trend_wm_max_recent_v2
BNE,DPS,197319.67,3794.6091,8,2015,2025,au_trend_wm_max_recent_v2
DPS,BNE,196989.35,3788.2567,8,2015,2025,au_trend_wm_max_recent_v2
SGN,MEL,192193.11,3696.0213,8,2015,2025,au_trend_wm_max_recent_v2
BNE,DRW,191995.62,3692.2235,8,2015,2025,au_trend_wm_max_recent_v2
DRW,BNE,191995.62,3692.2235,8,2015,2025,au_trend_wm_max_recent_v2
MEL,CAN,191819.0,3688.8269,8,2015,2025,au_trend_wm_max_recent_v2
HKG,BNE,191489.78,3682.4958,8,2015,2025,au_trend_wm_max_recent_v2
BNE,HKG,190474.8,3662.9769,8,2015,2025,au_trend_wm_max_recent_v2
MEL,AUH,190262.0,3658.8846,8,2015,2025,au_trend_wm_max_recent_v2
