origin_iata,dest_iata,anchor_annual,anchor_weekly,years_used,first_year,last_year,method
GMP,CJU,8122165.14,156195.4835,8,2015,2025,kr_trend_wm_max_recent_v2
CJU,GMP,8093744.88,155648.94,8,2015,2025,kr_trend_wm_max_recent_v2
CTS,HND,4735709.37,91071.334,7,2016,2025,jp_trend_wm_max_recent_v2
MEL,SYD,4661587.19,89645.9074,8,2015,2025,au_trend_wm_max_recent_v2
SYD,MEL,4661587.19,89645.9074,8,2015,2025,au_trend_wm_max_recent_v2
HND,CTS,4646903.94,89363.5374,7,2016,2025,jp_trend_wm_max_recent_v2
FUK,HND,4449168.0,85560.9231,7,2016,2025,jp_trend_wm_max_recent_v2
HND,FUK,4362776.0,83899.5385,7,2016,2025,jp_trend_wm_max_recent_v2
OKA,HND,3015641.6,57993.1077,7,2016,2025,jp_trend_wm_max_recent_v2
HND,OKA,2994433.01,57585.2501,7,2016,2025,jp_trend_wm_max_recent_v2
ITM,HND,2802296.0,53890.3077,7,2016,2025,jp_trend_wm_max_recent_v2
HND,ITM,2739048.0,52674.0,7,2016,2025,jp_trend_wm_max_recent_v2
BNE,SYD,2422445.29,46585.4863,8,2015,2025,au_trend_wm_max_recent_v2
SYD,BNE,2422445.29,46585.4863,8,2015,2025,au_trend_wm_max_recent_v2
CJU,PUS,1977916.38,38036.8534,8,2015,2025,kr_trend_wm_max_recent_v2
PUS,CJU,1977528.87,38029.4013,8,2015,2025,kr_trend_wm_max_recent_v2
LAX,SFO,1819352.58,34987.5496,22,1999,2025,bts_trend_wm_max_recent_v2
BNE,MEL,1815106.68,34905.8976,8,2015,2025,au_trend_wm_max_recent_v2
MEL,BNE,1815106.68,34905.8976,8,2015,2025,au_trend_wm_max_recent_v2
SFO,LAX,1803399.78,34680.765,22,1999,2025,bts_trend_wm_max_recent_v2
LAX,JFK,1725715.64,33186.8393,22,1999,2025,bts_trend_wm_max_recent_v2
KIX,ICN,1720100.41,33078.854,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,KIX,1715854.41,32997.2003,8,2015,2025,kr_trend_wm_max_recent_v2
JFK,LAX,1710789.02,32899.7889,22,1999,2025,bts_trend_wm_max_recent_v2
ICN,HKG,1645066.33,31635.8909,8,2015,2025,kr_trend_wm_max_recent_v2
NRT,ICN,1636073.89,31462.9595,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,NRT,1632919.89,31402.3055,8,2015,2025,kr_trend_wm_max_recent_v2
HKG,ICN,1614943.32,31056.6023,8,2015,2025,kr_trend_wm_max_recent_v2
LGA,ORD,1553174.0,29868.7308,22,1999,2025,bts_trend_wm_max_recent_v2
ORD,LGA,1549431.0,29796.75,22,1999,2025,bts_trend_wm_max_recent_v2
LHR,JFK,1521826.39,29265.8922,25,1999,2025,t100i_trend_wm_max_recent_v2
JFK,LHR,1513926.76,29113.9762,25,1999,2025,t100i_trend_wm_max_recent_v2
ATL,MCO,1457554.33,28029.891,22,1999,2025,bts_trend_wm_max_recent_v2
MCO,ATL,1438465.32,27662.7946,22,1999,2025,bts_trend_wm_max_recent_v2
LAX,ORD,1423071.0,27366.75,22,1999,2025,bts_trend_wm_max_recent_v2
DXB,LHR,1394613.36,26819.4877,5,2015,2019,eu_trend_wm_max_recent_v2
OOL,SYD,1388625.96,26704.3454,8,2015,2025,au_trend_wm_max_recent_v2
SYD,OOL,1388625.96,26704.3454,8,2015,2025,au_trend_wm_max_recent_v2
ORD,LAX,1375224.65,26446.628,22,1999,2025,bts_trend_wm_max_recent_v2
LAS,LAX,1350569.33,25972.4871,22,1999,2025,bts_trend_wm_max_recent_v2
LAX,LAS,1346118.81,25886.9001,22,1999,2025,bts_trend_wm_max_recent_v2
PUS,GMP,1344067.69,25847.4555,8,2015,2025,kr_trend_wm_max_recent_v2
GMP,PUS,1324696.4,25474.9307,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,BKK,1324006.3,25461.6596,8,2015,2025,kr_trend_wm_max_recent_v2
BKK,ICN,1308430.27,25162.1205,8,2015,2025,kr_trend_wm_max_recent_v2
LHR,DXB,1287256.47,24754.9321,5,2015,2019,eu_trend_wm_max_recent_v2
ATL,FLL,1273116.38,24483.0073,22,1999,2025,bts_trend_wm_max_recent_v2
FLL,ATL,1270896.33,24440.3141,22,1999,2025,bts_trend_wm_max_recent_v2
ADL,MEL,1269030.0,24404.4231,8,2015,2025,au_trend_wm_max_recent_v2
MEL,ADL,1269030.0,24404.4231,8,2015,2025,au_trend_wm_max_recent_v2
ICN,FUK,1256504.61,24163.5502,8,2015,2025,kr_trend_wm_max_recent_v2
FUK,ICN,1255151.18,24137.5226,8,2015,2025,kr_trend_wm_max_recent_v2
BCN,MAD,1237100.04,23790.3854,7,2015,2024,eu_trend_wm_max_recent_v2
MAD,BCN,1234235.84,23735.3047,7,2015,2024,eu_trend_wm_max_recent_v2
HND,KOJ,1233525.0,23721.6346,7,2016,2025,jp_trend_wm_max_recent_v2
KOJ,HND,1232536.0,23702.6154,7,2016,2025,jp_trend_wm_max_recent_v2
TPE,ICN,1223922.48,23536.9708,8,2015,2025,kr_trend_wm_max_recent_v2
SFO,ORD,1216035.68,23385.3015,22,1999,2025,bts_trend_wm_max_recent_v2
ICN,TPE,1215539.1,23375.7519,8,2015,2025,kr_trend_wm_max_recent_v2
ATL,LGA,1211829.36,23304.4108,22,1999,2025,bts_trend_wm_max_recent_v2
LGA,ATL,1207442.34,23220.045,22,1999,2025,bts_trend_wm_max_recent_v2
CJJ,CJU,1186598.0,22819.1923,8,2015,2025,kr_trend_wm_max_recent_v2
CJU,CJJ,1181547.0,22722.0577,8,2015,2025,kr_trend_wm_max_recent_v2
DFW,LAX,1177232.37,22639.084,22,1999,2025,bts_trend_wm_max_recent_v2
ORD,SFO,1176763.96,22630.0761,22,1999,2025,bts_trend_wm_max_recent_v2
LAX,DFW,1174123.65,22579.301,22,1999,2025,bts_trend_wm_max_recent_v2
HNL,LAX,1171462.21,22528.1193,22,1999,2025,bts_trend_wm_max_recent_v2
TLS,ORY,1168867.98,22478.2304,7,2015,2024,eu_trend_wm_max_recent_v2
LAX,HNL,1163176.43,22368.7774,22,1999,2025,bts_trend_wm_max_recent_v2
DEN,LAX,1162572.4,22357.1616,22,1999,2025,bts_trend_wm_max_recent_v2
ORY,TLS,1159279.98,22293.8458,7,2015,2024,eu_trend_wm_max_recent_v2
PHX,DEN,1126480.62,21663.0888,22,1999,2025,bts_trend_wm_max_recent_v2
DEN,PHX,1125519.22,21644.6004,22,1999,2025,bts_trend_wm_max_recent_v2
LAX,DEN,1114196.05,21426.8471,22,1999,2025,bts_trend_wm_max_recent_v2
ATL,LAX,1104198.61,21234.5886,22,1999,2025,bts_trend_wm_max_recent_v2
LAX,ATL,1096056.0,21078.0,22,1999,2025,bts_trend_wm_max_recent_v2
ORY,NCE,1094295.78,21044.1496,7,2015,2024,eu_trend_wm_max_recent_v2
NCE,ORY,1093204.38,21023.1612,7,2015,2024,eu_trend_wm_max_recent_v2
SFO,JFK,1091201.69,20984.6479,22,1999,2025,bts_trend_wm_max_recent_v2
TPA,ATL,1073462.0,20643.5,22,1999,2025,bts_trend_wm_max_recent_v2
DFW,ORD,1064380.18,20468.8496,22,1999,2025,bts_trend_wm_max_recent_v2
ATL,TPA,1063123.0,20444.6731,22,1999,2025,bts_trend_wm_max_recent_v2
JFK,SFO,1062132.54,20425.6258,22,1999,2025,bts_trend_wm_max_recent_v2
TRD,OSL,1061926.44,20421.6623,5,2015,2019,eu_trend_wm_max_recent_v2
PMI,BCN,1061480.84,20413.0931,7,2015,2024,eu_trend_wm_max_recent_v2
MEL,PER,1057692.49,20340.2402,8,2015,2025,au_trend_wm_max_recent_v2
PER,MEL,1057692.49,20340.2402,8,2015,2025,au_trend_wm_max_recent_v2
ORD,DFW,1054451.04,20277.9047,22,1999,2025,bts_trend_wm_max_recent_v2
SEA,LAX,1051214.82,20215.6695,22,1999,2025,bts_trend_wm_max_recent_v2
OGG,HNL,1050887.0,20209.3654,22,1999,2025,bts_trend_wm_max_recent_v2
OSL,TRD,1047985.35,20153.5644,5,2015,2019,eu_trend_wm_max_recent_v2
BCN,PMI,1047757.55,20149.1837,7,2015,2024,eu_trend_wm_max_recent_v2
HNL,OGG,1047062.0,20135.8077,22,1999,2025,bts_trend_wm_max_recent_v2
MEL,OOL,1046949.32,20133.6407,8,2015,2025,au_trend_wm_max_recent_v2
OOL,MEL,1046949.32,20133.6407,8,2015,2025,au_trend_wm_max_recent_v2
LAX,SEA,1045519.06,20106.1357,22,1999,2025,bts_trend_wm_max_recent_v2
CTA,FCO,1031699.4,19840.3731,7,2015,2024,eu_trend_wm_max_recent_v2
SFO,SEA,1026155.43,19733.7583,22,1999,2025,bts_trend_wm_max_recent_v2
GMP,HND,1019309.39,19602.1036,8,2015,2025,kr_trend_wm_max_recent_v2
HND,GMP,1011538.27,19452.659,8,2015,2025,kr_trend_wm_max_recent_v2
BGO,OSL,1011212.0,19446.3846,5,2015,2019,eu_trend_wm_max_recent_v2
PMI,MAD,1008286.0,19390.1154,7,2015,2024,eu_trend_wm_max_recent_v2
SEA,SFO,1006258.16,19351.1185,22,1999,2025,bts_trend_wm_max_recent_v2
OSL,BGO,992374.0,19084.1154,5,2015,2019,eu_trend_wm_max_recent_v2
ORD,DEN,991605.24,19069.3315,22,1999,2025,bts_trend_wm_max_recent_v2
DEN,LAS,990881.03,19055.4045,22,1999,2025,bts_trend_wm_max_recent_v2
FCO,CTA,988706.4,19013.5846,7,2015,2024,eu_trend_wm_max_recent_v2
LAS,DEN,988451.9,19008.6904,22,1999,2025,bts_trend_wm_max_recent_v2
MAD,PMI,986818.0,18977.2692,7,2015,2024,eu_trend_wm_max_recent_v2
LAS,SFO,982894.72,18901.8215,22,1999,2025,bts_trend_wm_max_recent_v2
HND,KMJ,979436.0,18835.3077,7,2016,2025,jp_trend_wm_max_recent_v2
KMJ,HND,974951.0,18749.0577,7,2016,2025,jp_trend_wm_max_recent_v2
ADL,SYD,972394.56,18699.8954,8,2015,2025,au_trend_wm_max_recent_v2
SYD,ADL,972394.56,18699.8954,8,2015,2025,au_trend_wm_max_recent_v2
SFO,LAS,966515.61,18586.8386,22,1999,2025,bts_trend_wm_max_recent_v2
ORD,BOS,965551.77,18568.3033,22,1999,2025,bts_trend_wm_max_recent_v2
HND,HIJ,964198.86,18542.2858,7,2016,2025,jp_trend_wm_max_recent_v2
FUK,OKA,962129.0,18502.4808,7,2016,2025,jp_trend_wm_max_recent_v2
ATL,DFW,961444.04,18489.3085,22,1999,2025,bts_trend_wm_max_recent_v2
OKA,FUK,960562.0,18472.3462,7,2016,2025,jp_trend_wm_max_recent_v2
CTS,NRT,956338.0,18391.1154,7,2016,2025,jp_trend_wm_max_recent_v2
BOS,ORD,953761.75,18341.5721,22,1999,2025,bts_trend_wm_max_recent_v2
DEN,ORD,953649.44,18339.4124,22,1999,2025,bts_trend_wm_max_recent_v2
HIJ,HND,951652.86,18301.0165,7,2016,2025,jp_trend_wm_max_recent_v2
DFW,ATL,951445.8,18297.0346,22,1999,2025,bts_trend_wm_max_recent_v2
ORD,MSP,951331.13,18294.8295,22,1999,2025,bts_trend_wm_max_recent_v2
PVG,ICN,949685.28,18263.1785,8,2015,2025,kr_trend_wm_max_recent_v2
NRT,CTS,946956.96,18210.7108,7,2016,2025,jp_trend_wm_max_recent_v2
ICN,PVG,945118.74,18175.3604,8,2015,2025,kr_trend_wm_max_recent_v2
DUB,LHR,939639.87,18069.9976,7,2015,2024,eu_trend_wm_max_recent_v2
MSP,ORD,932735.06,17937.2127,22,1999,2025,bts_trend_wm_max_recent_v2
DEN,SFO,932540.0,17933.4615,22,1999,2025,bts_trend_wm_max_recent_v2
SEA,ANC,930470.36,17893.6607,22,1999,2025,bts_trend_wm_max_recent_v2
ANC,SEA,928300.19,17851.9267,22,1999,2025,bts_trend_wm_max_recent_v2
MIA,ATL,923513.93,17759.8832,22,1999,2025,bts_trend_wm_max_recent_v2
TAE,CJU,922650.0,17743.2692,8,2015,2025,kr_trend_wm_max_recent_v2
ATL,MIA,920601.0,17703.8654,22,1999,2025,bts_trend_wm_max_recent_v2
CJU,TAE,919178.0,17676.5,8,2015,2025,kr_trend_wm_max_recent_v2
HND,NGS,912295.0,17544.1346,7,2016,2025,jp_trend_wm_max_recent_v2
LHR,DUB,911230.26,17523.6588,7,2015,2024,eu_trend_wm_max_recent_v2
ATL,DCA,909714.54,17494.5104,22,1999,2025,bts_trend_wm_max_recent_v2
SFO,DEN,908653.0,17474.0962,22,1999,2025,bts_trend_wm_max_recent_v2
ICN,DAD,903548.18,17375.9265,8,2015,2025,kr_trend_wm_max_recent_v2
EWR,MCO,901327.15,17333.2144,22,1999,2025,bts_trend_wm_max_recent_v2
LAX,EWR,900791.0,17322.9038,22,1999,2025,bts_trend_wm_max_recent_v2
DAD,ICN,900676.48,17320.7015,8,2015,2025,kr_trend_wm_max_recent_v2
ATL,PHL,899110.56,17290.5877,22,1999,2025,bts_trend_wm_max_recent_v2
DCA,ATL,892709.1,17167.4827,22,1999,2025,bts_trend_wm_max_recent_v2
NGS,HND,891145.0,17137.4038,7,2016,2025,jp_trend_wm_max_recent_v2
