origin_iata,dest_iata,anchor_annual,anchor_weekly,years_used,first_year,last_year,method
JFK,LHR,1602046.0,30808.5769,5,2015,2019,eu_trend_wm_max_recent_v2
LHR,JFK,1590149.0,30579.7885,5,2015,2019,eu_trend_wm_max_recent_v2
DXB,LHR,1394613.36,26819.4877,5,2015,2019,eu_trend_wm_max_recent_v2
LHR,DXB,1287256.47,24754.9321,5,2015,2019,eu_trend_wm_max_recent_v2
BCN,MAD,1237100.04,23790.3854,7,2015,2024,eu_trend_wm_max_recent_v2
MAD,BCN,1234235.84,23735.3047,7,2015,2024,eu_trend_wm_max_recent_v2
TLS,ORY,1168867.98,22478.2304,7,2015,2024,eu_trend_wm_max_recent_v2
ORY,TLS,1159279.98,22293.8458,7,2015,2024,eu_trend_wm_max_recent_v2
ORY,NCE,1094295.78,21044.1496,7,2015,2024,eu_trend_wm_max_recent_v2
NCE,ORY,1093204.38,21023.1612,7,2015,2024,eu_trend_wm_max_recent_v2
TRD,OSL,1061926.44,20421.6623,5,2015,2019,eu_trend_wm_max_recent_v2
PMI,BCN,1061480.84,20413.0931,7,2015,2024,eu_trend_wm_max_recent_v2
OSL,TRD,1047985.35,20153.5644,5,2015,2019,eu_trend_wm_max_recent_v2
BCN,PMI,1047757.55,20149.1837,7,2015,2024,eu_trend_wm_max_recent_v2
CTA,FCO,1031699.4,19840.3731,7,2015,2024,eu_trend_wm_max_recent_v2
BGO,OSL,1011212.0,19446.3846,5,2015,2019,eu_trend_wm_max_recent_v2
PMI,MAD,1008286.0,19390.1154,7,2015,2024,eu_trend_wm_max_recent_v2
OSL,BGO,992374.0,19084.1154,5,2015,2019,eu_trend_wm_max_recent_v2
FCO,CTA,988706.4,19013.5846,7,2015,2024,eu_trend_wm_max_recent_v2
MAD,PMI,986818.0,18977.2692,7,2015,2024,eu_trend_wm_max_recent_v2
DUB,LHR,939639.87,18069.9976,7,2015,2024,eu_trend_wm_max_recent_v2
LHR,DUB,911230.26,17523.6588,7,2015,2024,eu_trend_wm_max_recent_v2
MUC,HAM,890932.26,17133.3127,7,2015,2024,eu_trend_wm_max_recent_v2
HAM,MUC,889692.96,17109.48,7,2015,2024,eu_trend_wm_max_recent_v2
