key,value
fuel_base_price_bbl,195.00
cash_warning_threshold,25000000
excise_tax_rate,0.075
segment_fee,5.30
security_fee,5.60
pfc_fee,4.50
fuel_tax_per_gallon,0.043
slot_utilization_threshold,0.70
slot_grace_weeks,2
slot_season_weeks,12
slot_enforcement_weekly,0
slot_auction_units,30
slot_min_price_per_unit,8000
slot_price_step,1000
mtt_minutes,30
max_weekly_airborne_hours_per_tail,168
passenger_demand_multiplier,9.0
demand_business_segment_multiplier,2.0
demand_leisure_segment_multiplier,3.5
demand_share_premium_economy,0.30
demand_share_first,0.25
connection_window_min_mins,60
connection_window_max_mins,120
connection_bonus_min,1.10
connection_bonus_max,1.20
noise_fine_base,15000.00
eec_yield_economy,1.0
eec_yield_prem_eco,1.5
eec_yield_business,2.0
eec_yield_first,4.0
eec_cost_economy,1.0
eec_cost_prem_eco,1.5
eec_cost_business,2.0
eec_cost_first,4.0
reconfig_cost_per_eec,500.00
fuel_reserve_cap_gallons,500000
fuel_hedge_premium_rate,0.05
ai_evaluation_interval_weeks,1
ai_candidate_pool_size,15
ai_exit_loss_threshold,4
ai_min_profit_to_open,8000
ai_hub_radius_nm,2500
ai_price_undercut_pct,0.08
ai_price_recover_pct,0.03
ai_suspension_threshold,0.15
ai_stance_grace_weeks,4
ai_lease_utilization_floor,0.35
ai_slot_seed_weeks,24
ai_hub_gate_cap,24
gate_auction_score_threshold,1080000
gate_utilization_threshold,0.80
gate_utilization_threshold_hub,0.06
gate_utilization_threshold_nonhub,0.02
gate_utilization_grace_weeks,3
gate_min_price_per_unit,5000
gate_price_step,1000
emergency_gate_fee_rate,0.20
emergency_gate_penalty_rate_per_day,0.10
gate_shortfall_penalty_total_multiplier,1.0
gate_sale_haircut,0.85
bts_target_market_share,1.30
bts_ref_year,2019
bts_growth_rate,0.02
bts_decay_lambda,0.85
bts_base_demand_floor,5
bts_min_weekly_pool,750
bts_min_credible_anchor,10
bts_anchor_discard_min_nm,250
bts_floor_score_ref,1200000
bts_floor_score_exponent,0.435
bts_floor_min_weekly,250
bts_gravity_k,0.0000071501
bts_gravity_alpha,0.8134
bts_gravity_beta,1.20
bts_gravity_beta_short,0.5632
bts_gravity_beta_medium,0.7314
bts_gravity_beta_long,0.8936
bts_gravity_band1_nm,800
bts_gravity_band2_nm,3000
bts_small_small_damp,1.0
bts_gravity_quantile_blend,0.75
aircraft_depreciation_annual_rate,0.06
aircraft_usage_wear_factor,0.25
aircraft_usage_reference_hours,5000
aircraft_condition_penalty,0.85
aircraft_sale_haircut,0.92
aircraft_residual_floor,0.15
lease_early_return_weeks,4
od_share_default,0.85
hub_connect_min_routes,4
hub_connect_full_routes,14
hub_connect_od_threshold,0.70
