origin_iata,dest_iata,anchor_annual,anchor_weekly,years_used,first_year,last_year,method
LHR,JFK,1521826.39,29265.8922,25,1999,2025,t100i_trend_wm_max_recent_v2
JFK,LHR,1513926.76,29113.9762,25,1999,2025,t100i_trend_wm_max_recent_v2
LAX,LHR,817403.95,15719.3068,25,1999,2025,t100i_trend_wm_max_recent_v2
JFK,CDG,800149.91,15387.4984,25,1999,2025,t100i_trend_wm_max_recent_v2
CDG,JFK,799176.0,15368.7692,25,1999,2025,t100i_trend_wm_max_recent_v2
LHR,LAX,791028.36,15212.0838,25,1999,2025,t100i_trend_wm_max_recent_v2
YYZ,LGA,637759.88,12264.6131,25,1999,2025,t100i_trend_wm_max_recent_v2
LGA,YYZ,634840.43,12208.4698,25,1999,2025,t100i_trend_wm_max_recent_v2
NRT,HNL,606183.86,11657.3819,25,1999,2025,t100i_trend_wm_max_recent_v2
HNL,NRT,602904.52,11594.3176,25,1999,2025,t100i_trend_wm_max_recent_v2
ORD,LHR,565065.72,10866.6485,25,1999,2025,t100i_trend_wm_max_recent_v2
LHR,ORD,554373.04,10661.0201,25,1999,2025,t100i_trend_wm_max_recent_v2
LAX,ICN,537871.33,10343.6794,23,2001,2025,t100i_trend_wm_max_recent_v2
ICN,LAX,529774.14,10187.9641,23,2001,2025,t100i_trend_wm_max_recent_v2
EWR,LHR,522441.62,10046.9543,25,1999,2025,t100i_trend_wm_max_recent_v2
CUN,DFW,515578.21,9914.9655,25,1999,2025,t100i_trend_wm_max_recent_v2
DFW,CUN,515563.71,9914.6868,25,1999,2025,t100i_trend_wm_max_recent_v2
SFO,LHR,514118.86,9886.9012,25,1999,2025,t100i_trend_wm_max_recent_v2
SFO,TPE,512866.32,9862.8139,25,1999,2025,t100i_trend_wm_max_recent_v2
LHR,SFO,508302.24,9775.0431,25,1999,2025,t100i_trend_wm_max_recent_v2
MIA,LHR,506939.06,9748.8281,25,1999,2025,t100i_trend_wm_max_recent_v2
LHR,EWR,502521.52,9663.8754,25,1999,2025,t100i_trend_wm_max_recent_v2
TPE,SFO,499234.06,9600.655,25,1999,2025,t100i_trend_wm_max_recent_v2
LAX,GDL,496669.03,9551.3276,25,1999,2025,t100i_trend_wm_max_recent_v2
TPE,LAX,496356.79,9545.3228,25,1999,2025,t100i_trend_wm_max_recent_v2
GDL,LAX,486221.7,9350.4172,25,1999,2025,t100i_trend_wm_max_recent_v2
LAX,MEX,481925.86,9267.805,25,1999,2025,t100i_trend_wm_max_recent_v2
LAX,TPE,480341.29,9237.3325,25,1999,2025,t100i_trend_wm_max_recent_v2
LHR,MIA,479700.03,9225.0005,25,1999,2025,t100i_trend_wm_max_recent_v2
YVR,LAX,479542.8,9221.9769,25,1999,2025,t100i_trend_wm_max_recent_v2
STI,JFK,478863.27,9208.909,22,2002,2025,t100i_trend_wm_max_recent_v2
LAX,YVR,478441.2,9200.7923,25,1999,2025,t100i_trend_wm_max_recent_v2
BOS,LHR,476917.0,9171.4808,25,1999,2025,t100i_trend_wm_max_recent_v2
MEX,LAX,470913.19,9056.023,25,1999,2025,t100i_trend_wm_max_recent_v2
YYZ,ORD,470550.24,9049.0431,25,1999,2025,t100i_trend_wm_max_recent_v2
ORD,YYZ,470423.96,9046.6145,25,1999,2025,t100i_trend_wm_max_recent_v2
JFK,STI,467651.48,8993.2977,22,2002,2025,t100i_trend_wm_max_recent_v2
LHR,BOS,466924.16,8979.3107,25,1999,2025,t100i_trend_wm_max_recent_v2
LAX,SYD,456374.58,8776.4343,25,1999,2025,t100i_trend_wm_max_recent_v2
SDQ,JFK,451312.35,8679.0836,25,1999,2025,t100i_trend_wm_max_recent_v2
MIA,GRU,450772.51,8668.7022,25,1999,2025,t100i_trend_wm_max_recent_v2
GRU,MIA,449415.0,8642.5962,25,1999,2025,t100i_trend_wm_max_recent_v2
HND,LAX,445856.12,8574.1561,15,2008,2025,t100i_trend_wm_max_recent_v2
JFK,SDQ,441380.09,8488.0786,25,1999,2025,t100i_trend_wm_max_recent_v2
IAD,LHR,439684.48,8455.4709,25,1999,2025,t100i_trend_wm_max_recent_v2
SYD,LAX,438932.0,8441.0,25,1999,2025,t100i_trend_wm_max_recent_v2
BOG,MIA,435704.47,8378.9321,25,1999,2025,t100i_trend_wm_max_recent_v2
LAX,HND,435355.69,8372.2248,15,2008,2025,t100i_trend_wm_max_recent_v2
GUM,NRT,424002.54,8153.8949,25,1999,2025,t100i_trend_wm_max_recent_v2
LAX,NRT,422211.0,8119.4423,25,1999,2025,t100i_trend_wm_max_recent_v2
MIA,BOG,422151.17,8118.2917,25,1999,2025,t100i_trend_wm_max_recent_v2
LHR,IAD,420948.96,8095.1723,25,1999,2025,t100i_trend_wm_max_recent_v2
NRT,GUM,420860.53,8093.4717,25,1999,2025,t100i_trend_wm_max_recent_v2
HKG,SFO,417883.94,8036.2297,25,1999,2025,t100i_trend_wm_max_recent_v2
LGW,MCO,410199.34,7888.4489,25,1999,2025,t100i_trend_wm_max_recent_v2
NRT,LAX,408876.0,7863.0,25,1999,2025,t100i_trend_wm_max_recent_v2
SFO,HKG,408519.3,7856.1404,25,1999,2025,t100i_trend_wm_max_recent_v2
MIA,EZE,406780.0,7822.6923,25,1999,2025,t100i_trend_wm_max_recent_v2
MCO,LGW,403858.62,7766.512,25,1999,2025,t100i_trend_wm_max_recent_v2
IAH,MEX,401199.8,7715.3808,25,1999,2025,t100i_trend_wm_max_recent_v2
CDG,ATL,398792.66,7669.0896,25,1999,2025,t100i_trend_wm_max_recent_v2
CUN,ORD,398488.04,7663.2316,25,1999,2025,t100i_trend_wm_max_recent_v2
EZE,MIA,396958.0,7633.8077,25,1999,2025,t100i_trend_wm_max_recent_v2
AMS,JFK,395628.49,7608.2402,25,1999,2025,t100i_trend_wm_max_recent_v2
ORD,CUN,395428.49,7604.394,25,1999,2025,t100i_trend_wm_max_recent_v2
ATL,CDG,395073.54,7597.5681,25,1999,2025,t100i_trend_wm_max_recent_v2
JFK,AMS,390729.34,7514.0257,25,1999,2025,t100i_trend_wm_max_recent_v2
MAD,JFK,385240.85,7408.4779,25,1999,2025,t100i_trend_wm_max_recent_v2
MEX,IAH,383323.39,7371.6037,25,1999,2025,t100i_trend_wm_max_recent_v2
DFW,LHR,381436.0,7335.3077,25,1999,2025,t100i_trend_wm_max_recent_v2
FCO,JFK,381277.0,7332.25,25,1999,2025,t100i_trend_wm_max_recent_v2
JFK,FCO,380569.0,7318.6346,25,1999,2025,t100i_trend_wm_max_recent_v2
FRA,JFK,378029.07,7269.7899,25,1999,2025,t100i_trend_wm_max_recent_v2
MIA,PTY,377672.88,7262.9399,25,1999,2025,t100i_trend_wm_max_recent_v2
JFK,MAD,374849.45,7208.6432,25,1999,2025,t100i_trend_wm_max_recent_v2
PTY,MIA,374845.46,7208.5665,25,1999,2025,t100i_trend_wm_max_recent_v2
ATL,AMS,371499.49,7144.221,25,1999,2025,t100i_trend_wm_max_recent_v2
AMS,ATL,371186.31,7138.1983,25,1999,2025,t100i_trend_wm_max_recent_v2
MIA,MEX,370232.65,7119.8586,25,1999,2025,t100i_trend_wm_max_recent_v2
LHR,DFW,370103.0,7117.3654,25,1999,2025,t100i_trend_wm_max_recent_v2
CUN,ATL,370087.89,7117.0747,25,1999,2025,t100i_trend_wm_max_recent_v2
SFO,YVR,369625.0,7108.1731,25,1999,2025,t100i_trend_wm_max_recent_v2
YYZ,MCO,369306.75,7102.0529,25,1999,2025,t100i_trend_wm_max_recent_v2
ATL,CUN,367593.72,7069.11,25,1999,2025,t100i_trend_wm_max_recent_v2
JFK,FRA,366552.47,7049.0859,25,1999,2025,t100i_trend_wm_max_recent_v2
LIM,MIA,364773.9,7014.8827,25,1999,2025,t100i_trend_wm_max_recent_v2
