origin_iata,dest_iata,anchor_annual,anchor_weekly,years_used,first_year,last_year,method
CTS,HND,4735709.37,91071.334,7,2016,2025,jp_trend_wm_max_recent_v2
HND,CTS,4646903.94,89363.5374,7,2016,2025,jp_trend_wm_max_recent_v2
FUK,HND,4449168.0,85560.9231,7,2016,2025,jp_trend_wm_max_recent_v2
HND,FUK,4362776.0,83899.5385,7,2016,2025,jp_trend_wm_max_recent_v2
OKA,HND,3015641.6,57993.1077,7,2016,2025,jp_trend_wm_max_recent_v2
HND,OKA,2994433.01,57585.2501,7,2016,2025,jp_trend_wm_max_recent_v2
ITM,HND,2802296.0,53890.3077,7,2016,2025,jp_trend_wm_max_recent_v2
HND,ITM,2739048.0,52674.0,7,2016,2025,jp_trend_wm_max_recent_v2
HND,KOJ,1233525.0,23721.6346,7,2016,2025,jp_trend_wm_max_recent_v2
KOJ,HND,1232536.0,23702.6154,7,2016,2025,jp_trend_wm_max_recent_v2
HND,KMJ,979436.0,18835.3077,7,2016,2025,jp_trend_wm_max_recent_v2
KMJ,HND,974951.0,18749.0577,7,2016,2025,jp_trend_wm_max_recent_v2
HND,HIJ,964198.86,18542.2858,7,2016,2025,jp_trend_wm_max_recent_v2
FUK,OKA,962129.0,18502.4808,7,2016,2025,jp_trend_wm_max_recent_v2
OKA,FUK,960562.0,18472.3462,7,2016,2025,jp_trend_wm_max_recent_v2
CTS,NRT,956338.0,18391.1154,7,2016,2025,jp_trend_wm_max_recent_v2
HIJ,HND,951652.86,18301.0165,7,2016,2025,jp_trend_wm_max_recent_v2
NRT,CTS,946956.96,18210.7108,7,2016,2025,jp_trend_wm_max_recent_v2
HND,NGS,912295.0,17544.1346,7,2016,2025,jp_trend_wm_max_recent_v2
NGS,HND,891145.0,17137.4038,7,2016,2025,jp_trend_wm_max_recent_v2
MYJ,HND,782266.0,15043.5769,7,2016,2025,jp_trend_wm_max_recent_v2
HND,MYJ,771892.0,14844.0769,7,2016,2025,jp_trend_wm_max_recent_v2
CTS,NGO,729251.73,14024.0718,7,2016,2025,jp_trend_wm_max_recent_v2
NGO,CTS,716390.31,13776.7367,7,2016,2025,jp_trend_wm_max_recent_v2
HND,KMI,715337.0,13756.4808,7,2016,2025,jp_trend_wm_max_recent_v2
KMI,HND,713960.0,13730.0,7,2016,2025,jp_trend_wm_max_recent_v2
FUK,NRT,701866.79,13497.4382,7,2016,2025,jp_trend_wm_max_recent_v2
NRT,FUK,684535.36,13164.1416,7,2016,2025,jp_trend_wm_max_recent_v2
KIX,HND,668028.31,12846.6983,7,2016,2025,jp_trend_wm_max_recent_v2
HND,TAK,655673.0,12609.0962,7,2016,2025,jp_trend_wm_max_recent_v2
HND,KIX,645267.52,12408.9909,7,2016,2025,jp_trend_wm_max_recent_v2
TAK,HND,643243.8,12370.0731,7,2016,2025,jp_trend_wm_max_recent_v2
HND,KKJ,631506.0,12144.3462,7,2016,2025,jp_trend_wm_max_recent_v2
HND,OIT,630152.0,12118.3077,7,2016,2025,jp_trend_wm_max_recent_v2
OIT,HND,626560.0,12049.2308,7,2016,2025,jp_trend_wm_max_recent_v2
KIX,CTS,608259.51,11697.2982,7,2016,2025,jp_trend_wm_max_recent_v2
KKJ,HND,607814.0,11688.7308,7,2016,2025,jp_trend_wm_max_recent_v2
CTS,KIX,606290.88,11659.4399,7,2016,2025,jp_trend_wm_max_recent_v2
NGO,OKA,600793.26,11553.7165,7,2016,2025,jp_trend_wm_max_recent_v2
CTS,ITM,596367.0,11468.5962,7,2016,2025,jp_trend_wm_max_recent_v2
OKA,NGO,594980.28,11441.9285,7,2016,2025,jp_trend_wm_max_recent_v2
OKA,ITM,591612.0,11377.1538,7,2016,2025,jp_trend_wm_max_recent_v2
KIX,OKA,590267.43,11351.2968,7,2016,2025,jp_trend_wm_max_recent_v2
ITM,CTS,590248.54,11350.9334,7,2016,2025,jp_trend_wm_max_recent_v2
OKA,KIX,586830.1,11285.1941,7,2016,2025,jp_trend_wm_max_recent_v2
ITM,OKA,577351.0,11102.9038,7,2016,2025,jp_trend_wm_max_recent_v2
ISG,OKA,571354.0,10987.5769,7,2016,2025,jp_trend_wm_max_recent_v2
MMY,OKA,566171.0,10887.9038,7,2016,2025,jp_trend_wm_max_recent_v2
OKA,MMY,557345.0,10718.1731,7,2016,2025,jp_trend_wm_max_recent_v2
OKA,ISG,544940.0,10479.6154,7,2016,2025,jp_trend_wm_max_recent_v2
HND,KMQ,534766.06,10283.9626,7,2016,2025,jp_trend_wm_max_recent_v2
HND,HKD,530845.37,10208.5649,7,2016,2025,jp_trend_wm_max_recent_v2
KMQ,HND,530252.74,10197.1681,7,2016,2025,jp_trend_wm_max_recent_v2
HKD,HND,517857.02,9958.7888,7,2016,2025,jp_trend_wm_max_recent_v2
UKB,HND,516059.08,9924.2131,7,2016,2025,jp_trend_wm_max_recent_v2
HND,OKJ,515734.0,9917.9615,7,2016,2025,jp_trend_wm_max_recent_v2
TKS,HND,512248.08,9850.9246,7,2016,2025,jp_trend_wm_max_recent_v2
HND,TKS,511446.36,9835.5069,7,2016,2025,jp_trend_wm_max_recent_v2
HND,UKB,506523.0,9740.8269,7,2016,2025,jp_trend_wm_max_recent_v2
OKJ,HND,498879.0,9593.8269,7,2016,2025,jp_trend_wm_max_recent_v2
HND,AKJ,486751.14,9360.5988,7,2016,2025,jp_trend_wm_max_recent_v2
HND,KCZ,477847.0,9189.3654,7,2016,2025,jp_trend_wm_max_recent_v2
KCZ,HND,473942.0,9114.2692,7,2016,2025,jp_trend_wm_max_recent_v2
HND,UBJ,468625.0,9012.0192,7,2016,2025,jp_trend_wm_max_recent_v2
UBJ,HND,465934.0,8960.2692,7,2016,2025,jp_trend_wm_max_recent_v2
AKJ,HND,458767.5,8822.4519,7,2016,2025,jp_trend_wm_max_recent_v2
ITM,SDJ,454392.0,8738.3077,7,2016,2025,jp_trend_wm_max_recent_v2
SDJ,ITM,450605.0,8665.4808,7,2016,2025,jp_trend_wm_max_recent_v2
FUK,NGO,426221.28,8196.5631,7,2016,2025,jp_trend_wm_max_recent_v2
HND,AXT,425260.0,8178.0769,7,2016,2025,jp_trend_wm_max_recent_v2
NGO,FUK,417375.84,8026.4585,7,2016,2025,jp_trend_wm_max_recent_v2
AXT,HND,414625.0,7973.5577,7,2016,2025,jp_trend_wm_max_recent_v2
CTS,SDJ,398951.78,7672.1496,7,2016,2025,jp_trend_wm_max_recent_v2
SDJ,CTS,395819.14,7611.9065,7,2016,2025,jp_trend_wm_max_recent_v2
KIX,NRT,378599.25,7280.7547,7,2016,2025,jp_trend_wm_max_recent_v2
NRT,KIX,373175.35,7176.449,7,2016,2025,jp_trend_wm_max_recent_v2
OKA,NRT,344737.0,6629.5577,7,2016,2025,jp_trend_wm_max_recent_v2
CTS,FUK,342455.64,6585.6854,7,2016,2025,jp_trend_wm_max_recent_v2
NRT,OKA,339596.34,6530.6988,7,2016,2025,jp_trend_wm_max_recent_v2
FUK,CTS,339119.64,6521.5315,7,2016,2025,jp_trend_wm_max_recent_v2
ITM,KOJ,336742.0,6475.8077,7,2016,2025,jp_trend_wm_max_recent_v2
KOJ,ITM,335818.0,6458.0385,7,2016,2025,jp_trend_wm_max_recent_v2
HND,OBO,311113.26,5982.9473,7,2016,2025,jp_trend_wm_max_recent_v2
OBO,HND,309919.0,5959.9808,7,2016,2025,jp_trend_wm_max_recent_v2
UKB,OKA,307583.25,5915.0625,7,2016,2025,jp_trend_wm_max_recent_v2
OKA,UKB,306388.72,5892.0907,7,2016,2025,jp_trend_wm_max_recent_v2
ITM,FUK,297765.0,5726.25,7,2016,2025,jp_trend_wm_max_recent_v2
FUK,ITM,297465.0,5720.4808,7,2016,2025,jp_trend_wm_max_recent_v2
HND,IZO,292941.0,5633.4808,7,2016,2025,jp_trend_wm_max_recent_v2
IZO,HND,291504.78,5605.8612,7,2016,2025,jp_trend_wm_max_recent_v2
HND,ISG,286305.0,5505.8654,7,2016,2025,jp_trend_wm_max_recent_v2
YGJ,HND,283873.0,5459.0962,7,2016,2025,jp_trend_wm_max_recent_v2
ITM,KMI,282723.87,5436.9975,7,2016,2025,jp_trend_wm_max_recent_v2
CTS,UKB,282496.0,5432.6154,7,2016,2025,jp_trend_wm_max_recent_v2
KMI,ITM,281971.21,5422.5233,7,2016,2025,jp_trend_wm_max_recent_v2
ITM,MYJ,281703.91,5417.3828,7,2016,2025,jp_trend_wm_max_recent_v2
HND,AOJ,281238.0,5408.4231,7,2016,2025,jp_trend_wm_max_recent_v2
HND,YGJ,280091.0,5386.3654,7,2016,2025,jp_trend_wm_max_recent_v2
ISG,HND,278934.0,5364.1154,7,2016,2025,jp_trend_wm_max_recent_v2
MYJ,ITM,277236.0,5331.4615,7,2016,2025,jp_trend_wm_max_recent_v2
FUK,KMI,273067.0,5251.2885,7,2016,2025,jp_trend_wm_max_recent_v2
AOJ,HND,272430.0,5239.0385,7,2016,2025,jp_trend_wm_max_recent_v2
UKB,CTS,271972.0,5230.2308,7,2016,2025,jp_trend_wm_max_recent_v2
KMI,FUK,271428.0,5219.7692,7,2016,2025,jp_trend_wm_max_recent_v2
KUH,HND,259315.0,4986.8269,7,2016,2025,jp_trend_wm_max_recent_v2
HND,KUH,257910.06,4959.8088,7,2016,2025,jp_trend_wm_max_recent_v2
HND,MMB,253704.0,4878.9231,7,2016,2025,jp_trend_wm_max_recent_v2
ITM,NRT,247266.0,4755.1154,7,2016,2025,jp_trend_wm_max_recent_v2
MMB,HND,245621.1,4723.4827,7,2016,2025,jp_trend_wm_max_recent_v2
ITM,KMJ,239352.18,4602.9265,7,2016,2025,jp_trend_wm_max_recent_v2
FUK,KIX,237701.0,4571.1731,7,2016,2025,jp_trend_wm_max_recent_v2
KMJ,ITM,234162.83,4503.1313,7,2016,2025,jp_trend_wm_max_recent_v2
KIX,FUK,231349.0,4449.0192,7,2016,2025,jp_trend_wm_max_recent_v2
NRT,ITM,228735.0,4398.75,7,2016,2025,jp_trend_wm_max_recent_v2
ITM,KIJ,228186.2,4388.1961,7,2016,2025,jp_trend_wm_max_recent_v2
KIJ,ITM,227660.0,4378.0769,7,2016,2025,jp_trend_wm_max_recent_v2
HND,HSG,224791.95,4322.922,7,2016,2025,jp_trend_wm_max_recent_v2
HSG,HND,219656.53,4224.1641,7,2016,2025,jp_trend_wm_max_recent_v2
HND,MMY,212774.28,4091.8131,7,2016,2025,jp_trend_wm_max_recent_v2
IWK,HND,207587.0,3992.0577,7,2016,2025,jp_trend_wm_max_recent_v2
MMY,HND,207578.1,3991.8866,7,2016,2025,jp_trend_wm_max_recent_v2
HND,IWK,206755.0,3976.0577,7,2016,2025,jp_trend_wm_max_recent_v2
KOJ,NGO,205096.49,3944.1632,7,2016,2025,jp_trend_wm_max_recent_v2
NGO,KOJ,204965.96,3941.653,7,2016,2025,jp_trend_wm_max_recent_v2
ITM,NGS,195721.09,3763.8671,7,2016,2025,jp_trend_wm_max_recent_v2
NGS,ITM,195217.53,3754.1834,7,2016,2025,jp_trend_wm_max_recent_v2
HND,TTJ,192690.4,3705.5847,7,2016,2025,jp_trend_wm_max_recent_v2
NGO,NRT,189701.0,3648.0962,7,2016,2025,jp_trend_wm_max_recent_v2
TTJ,HND,189016.75,3634.9375,7,2016,2025,jp_trend_wm_max_recent_v2
HND,SYO,188614.0,3627.1923,7,2016,2025,jp_trend_wm_max_recent_v2
SYO,HND,185049.0,3558.6346,7,2016,2025,jp_trend_wm_max_recent_v2
NRT,NGO,183645.0,3531.6346,7,2016,2025,jp_trend_wm_max_recent_v2
TOY,HND,176068.0,3385.9231,7,2016,2025,jp_trend_wm_max_recent_v2
HND,TOY,174322.0,3352.3462,7,2016,2025,jp_trend_wm_max_recent_v2
KIX,SDJ,171221.0,3292.7115,7,2016,2025,jp_trend_wm_max_recent_v2
SDJ,KIX,171029.0,3289.0192,7,2016,2025,jp_trend_wm_max_recent_v2
ASJ,KOJ,169333.48,3256.4131,7,2016,2025,jp_trend_wm_max_recent_v2
KOJ,ASJ,167705.83,3225.1121,7,2016,2025,jp_trend_wm_max_recent_v2
KIX,ISG,167444.27,3220.082,7,2016,2025,jp_trend_wm_max_recent_v2
FUK,SDJ,157410.0,3027.1154,7,2016,2025,jp_trend_wm_max_recent_v2
SDJ,FUK,156461.88,3008.8823,7,2016,2025,jp_trend_wm_max_recent_v2
ISG,KIX,150776.1,2899.5404,7,2016,2025,jp_trend_wm_max_recent_v2
HND,NGO,135357.0,2603.0192,7,2016,2025,jp_trend_wm_max_recent_v2
ITM,OIT,134803.54,2592.3758,7,2016,2025,jp_trend_wm_max_recent_v2
OIT,ITM,133098.05,2559.5779,7,2016,2025,jp_trend_wm_max_recent_v2
UKB,NGS,131579.61,2530.3771,7,2016,2025,jp_trend_wm_max_recent_v2
ITM,AOJ,130478.51,2509.2022,7,2016,2025,jp_trend_wm_max_recent_v2
IBR,UKB,128839.3,2477.6789,7,2016,2025,jp_trend_wm_max_recent_v2
SDJ,NGO,128419.95,2469.6144,7,2016,2025,jp_trend_wm_max_recent_v2
AOJ,ITM,128352.71,2468.3214,7,2016,2025,jp_trend_wm_max_recent_v2
NGS,UKB,127563.65,2453.1472,7,2016,2025,jp_trend_wm_max_recent_v2
ITM,KCZ,127354.0,2449.1154,7,2016,2025,jp_trend_wm_max_recent_v2
UEO,OKA,126961.0,2441.5577,7,2016,2025,jp_trend_wm_max_recent_v2
KCZ,ITM,126829.0,2439.0192,7,2016,2025,jp_trend_wm_max_recent_v2
NGO,SDJ,126790.54,2438.2796,7,2016,2025,jp_trend_wm_max_recent_v2
UKB,IBR,126303.26,2428.9088,7,2016,2025,jp_trend_wm_max_recent_v2
HIJ,NRT,126237.97,2427.6534,7,2016,2025,jp_trend_wm_max_recent_v2
MYJ,NRT,124545.0,2395.0962,7,2016,2025,jp_trend_wm_max_recent_v2
OKA,UEO,122448.0,2354.7692,7,2016,2025,jp_trend_wm_max_recent_v2
HND,MSJ,122128.67,2348.6283,7,2016,2025,jp_trend_wm_max_recent_v2
NRT,MYJ,121856.31,2343.3906,7,2016,2025,jp_trend_wm_max_recent_v2
MSJ,HND,120571.99,2318.6921,7,2016,2025,jp_trend_wm_max_recent_v2
KOJ,KIX,119068.0,2289.7692,7,2016,2025,jp_trend_wm_max_recent_v2
TAK,NRT,118776.63,2284.166,7,2016,2025,jp_trend_wm_max_recent_v2
NRT,HIJ,118660.74,2281.9373,7,2016,2025,jp_trend_wm_max_recent_v2
KIX,KOJ,117694.0,2263.3462,7,2016,2025,jp_trend_wm_max_recent_v2
