origin_iata,dest_iata,anchor_annual,anchor_weekly,years_used,first_year,last_year,method
GMP,CJU,8122165.14,156195.4835,8,2015,2025,kr_trend_wm_max_recent_v2
CJU,GMP,8093744.88,155648.94,8,2015,2025,kr_trend_wm_max_recent_v2
CJU,PUS,1977916.38,38036.8534,8,2015,2025,kr_trend_wm_max_recent_v2
PUS,CJU,1977528.87,38029.4013,8,2015,2025,kr_trend_wm_max_recent_v2
KIX,ICN,1720100.41,33078.854,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,KIX,1715854.41,32997.2003,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,HKG,1645066.33,31635.8909,8,2015,2025,kr_trend_wm_max_recent_v2
NRT,ICN,1636073.89,31462.9595,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,NRT,1632919.89,31402.3055,8,2015,2025,kr_trend_wm_max_recent_v2
HKG,ICN,1614943.32,31056.6023,8,2015,2025,kr_trend_wm_max_recent_v2
PUS,GMP,1344067.69,25847.4555,8,2015,2025,kr_trend_wm_max_recent_v2
GMP,PUS,1324696.4,25474.9307,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,BKK,1324006.3,25461.6596,8,2015,2025,kr_trend_wm_max_recent_v2
BKK,ICN,1308430.27,25162.1205,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,FUK,1256504.61,24163.5502,8,2015,2025,kr_trend_wm_max_recent_v2
FUK,ICN,1255151.18,24137.5226,8,2015,2025,kr_trend_wm_max_recent_v2
TPE,ICN,1223922.48,23536.9708,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,TPE,1215539.1,23375.7519,8,2015,2025,kr_trend_wm_max_recent_v2
CJJ,CJU,1186598.0,22819.1923,8,2015,2025,kr_trend_wm_max_recent_v2
CJU,CJJ,1181547.0,22722.0577,8,2015,2025,kr_trend_wm_max_recent_v2
GMP,HND,1019309.39,19602.1036,8,2015,2025,kr_trend_wm_max_recent_v2
HND,GMP,1011538.27,19452.659,8,2015,2025,kr_trend_wm_max_recent_v2
PVG,ICN,949685.28,18263.1785,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,PVG,945118.74,18175.3604,8,2015,2025,kr_trend_wm_max_recent_v2
TAE,CJU,922650.0,17743.2692,8,2015,2025,kr_trend_wm_max_recent_v2
CJU,TAE,919178.0,17676.5,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,DAD,903548.18,17375.9265,8,2015,2025,kr_trend_wm_max_recent_v2
DAD,ICN,900676.48,17320.7015,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,SIN,890492.33,17124.8526,8,2015,2025,kr_trend_wm_max_recent_v2
CJU,KWJ,890208.9,17119.4019,8,2015,2025,kr_trend_wm_max_recent_v2
KWJ,CJU,888148.9,17079.7866,8,2015,2025,kr_trend_wm_max_recent_v2
SIN,ICN,882675.52,16974.5292,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,HAN,827294.87,15909.5167,8,2015,2025,kr_trend_wm_max_recent_v2
MNL,ICN,807370.17,15526.3494,8,2015,2025,kr_trend_wm_max_recent_v2
HAN,ICN,804736.92,15475.7099,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,MNL,797626.82,15338.9773,8,2015,2025,kr_trend_wm_max_recent_v2
TAO,ICN,768297.95,14774.9605,8,2015,2025,kr_trend_wm_max_recent_v2
SGN,ICN,761946.04,14652.8085,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,TAO,758740.83,14591.1698,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,SGN,757692.75,14571.0144,8,2015,2025,kr_trend_wm_max_recent_v2
LAX,ICN,572949.74,11018.2643,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,PEK,568671.42,10935.9888,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,LAX,568352.65,10929.8587,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,CXR,545560.29,10491.544,8,2015,2025,kr_trend_wm_max_recent_v2
CXR,ICN,542894.07,10440.2706,8,2015,2025,kr_trend_wm_max_recent_v2
CEB,ICN,540035.23,10385.2928,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,CEB,538500.64,10355.7815,8,2015,2025,kr_trend_wm_max_recent_v2
PEK,ICN,520125.54,10002.4142,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,GUM,513837.95,9881.4991,8,2015,2025,kr_trend_wm_max_recent_v2
GUM,ICN,512282.56,9851.5876,8,2015,2025,kr_trend_wm_max_recent_v2
PUS,KIX,500647.14,9627.8297,8,2015,2025,kr_trend_wm_max_recent_v2
KIX,PUS,497002.02,9557.7312,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,CTS,463047.96,8904.7684,8,2015,2025,kr_trend_wm_max_recent_v2
CTS,ICN,458074.9,8809.1326,8,2015,2025,kr_trend_wm_max_recent_v2
PUS,FUK,444339.16,8544.9839,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,NGO,440874.0,8478.3462,8,2015,2025,kr_trend_wm_max_recent_v2
KUL,ICN,439978.92,8461.133,8,2015,2025,kr_trend_wm_max_recent_v2
FUK,PUS,438308.3,8429.0058,8,2015,2025,kr_trend_wm_max_recent_v2
NGO,ICN,434376.0,8353.3846,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,KUL,426031.32,8192.9099,8,2015,2025,kr_trend_wm_max_recent_v2
GMP,KIX,394060.68,7578.09,8,2015,2025,kr_trend_wm_max_recent_v2
KIX,GMP,392618.4,7550.3538,8,2015,2025,kr_trend_wm_max_recent_v2
JFK,ICN,390907.41,7517.4502,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,JFK,386751.0,7437.5192,8,2015,2025,kr_trend_wm_max_recent_v2
OKA,ICN,382114.51,7348.3559,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,OKA,378373.49,7276.4132,8,2015,2025,kr_trend_wm_max_recent_v2
TPE,PUS,373243.0,7177.75,8,2015,2025,kr_trend_wm_max_recent_v2
PUS,TPE,370645.0,7127.7885,8,2015,2025,kr_trend_wm_max_recent_v2
CJU,PVG,368215.8,7081.0731,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,SFO,364486.74,7009.3605,8,2015,2025,kr_trend_wm_max_recent_v2
PVG,CJU,358768.13,6899.387,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,FRA,355603.62,6838.5312,8,2015,2025,kr_trend_wm_max_recent_v2
SFO,ICN,351483.94,6759.3065,8,2015,2025,kr_trend_wm_max_recent_v2
FRA,ICN,350861.64,6747.3392,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,CAN,343901.16,6613.4838,8,2015,2025,kr_trend_wm_max_recent_v2
CAN,ICN,343035.18,6596.8304,8,2015,2025,kr_trend_wm_max_recent_v2
GMP,SHA,340515.78,6548.3804,8,2015,2025,kr_trend_wm_max_recent_v2
SHA,GMP,332703.6,6398.1462,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,SYD,328646.92,6320.1332,8,2015,2025,kr_trend_wm_max_recent_v2
CDG,ICN,326887.44,6286.2969,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,CDG,316505.29,6086.6401,8,2015,2025,kr_trend_wm_max_recent_v2
SYD,ICN,315701.08,6071.1746,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,MFM,313458.24,6028.0431,8,2015,2025,kr_trend_wm_max_recent_v2
MFM,ICN,313192.02,6022.9235,8,2015,2025,kr_trend_wm_max_recent_v2
PUS,NRT,306762.34,5899.2757,8,2015,2025,kr_trend_wm_max_recent_v2
NRT,PUS,304047.77,5847.0724,8,2015,2025,kr_trend_wm_max_recent_v2
DLC,ICN,299336.87,5756.4783,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,HNL,299232.96,5754.48,8,2015,2025,kr_trend_wm_max_recent_v2
PUS,BKK,296189.4,5695.9499,8,2015,2025,kr_trend_wm_max_recent_v2
BKK,PUS,293219.05,5638.8279,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,VVO,292883.0,5632.3654,5,2015,2019,kr_trend_wm_max_recent_v2
ICN,DLC,289408.8,5565.5539,8,2015,2025,kr_trend_wm_max_recent_v2
DMK,ICN,289164.61,5560.858,8,2015,2025,kr_trend_wm_max_recent_v2
HNL,ICN,288892.48,5555.6247,8,2015,2025,kr_trend_wm_max_recent_v2
VVO,ICN,285966.0,5499.3462,5,2015,2019,kr_trend_wm_max_recent_v2
UBN,ICN,278292.9,5351.7864,3,2023,2025,kr_trend_wm_max_recent_v2
ICN,BKI,276877.49,5324.5671,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,UBN,276480.55,5316.9336,3,2023,2025,kr_trend_wm_max_recent_v2
BKI,ICN,274188.06,5272.8472,8,2015,2025,kr_trend_wm_max_recent_v2
PEK,GMP,272126.82,5233.2081,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,LHR,271220.84,5215.7853,8,2015,2025,kr_trend_wm_max_recent_v2
TSN,ICN,269567.82,5183.9966,8,2015,2025,kr_trend_wm_max_recent_v2
SHE,ICN,268767.96,5168.6146,8,2015,2025,kr_trend_wm_max_recent_v2
USN,GMP,264654.87,5089.5168,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,SHE,258753.6,4976.0308,8,2015,2025,kr_trend_wm_max_recent_v2
GMP,PEK,257725.44,4956.2585,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,TSN,257587.74,4953.6104,8,2015,2025,kr_trend_wm_max_recent_v2
IST,ICN,256534.04,4933.347,8,2015,2025,kr_trend_wm_max_recent_v2
LHR,ICN,253189.66,4869.032,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,DMK,252531.09,4856.3671,8,2015,2025,kr_trend_wm_max_recent_v2
GMP,USN,250925.1,4825.4827,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,SEA,249623.94,4800.4604,8,2015,2025,kr_trend_wm_max_recent_v2
CGK,ICN,247582.0,4761.1923,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,IST,246377.43,4738.0275,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,CGK,244313.0,4698.3269,8,2015,2025,kr_trend_wm_max_recent_v2
YNJ,ICN,243560.0,4683.8462,8,2015,2025,kr_trend_wm_max_recent_v2
SEA,ICN,243439.61,4681.531,8,2015,2025,kr_trend_wm_max_recent_v2
WEH,ICN,240314.71,4621.4368,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,WEH,238573.08,4587.9439,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,YNJ,237053.06,4558.7127,8,2015,2025,kr_trend_wm_max_recent_v2
SPN,ICN,236007.6,4538.6077,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,SPN,234917.22,4517.6388,8,2015,2025,kr_trend_wm_max_recent_v2
PUS,DAD,230769.34,4437.872,8,2015,2025,kr_trend_wm_max_recent_v2
DAD,PUS,230209.6,4427.1077,8,2015,2025,kr_trend_wm_max_recent_v2
HKT,ICN,229480.0,4413.0769,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,HKT,227952.0,4383.6923,8,2015,2025,kr_trend_wm_max_recent_v2
PUS,ICN,225021.87,4327.3437,8,2015,2025,kr_trend_wm_max_recent_v2
DXB,ICN,223781.18,4303.4841,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,ATL,221556.0,4260.6923,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,DXB,220800.0,4246.1538,8,2015,2025,kr_trend_wm_max_recent_v2
ATL,ICN,218703.0,4205.8269,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,PUS,216980.62,4172.7043,8,2015,2025,kr_trend_wm_max_recent_v2
YNT,ICN,215066.29,4135.8901,8,2015,2025,kr_trend_wm_max_recent_v2
KLO,ICN,214452.54,4124.0873,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,KLO,214309.66,4121.3396,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,SZX,213402.36,4103.8915,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,YNT,212209.35,4080.949,8,2015,2025,kr_trend_wm_max_recent_v2
SZX,ICN,209532.48,4029.4708,8,2015,2025,kr_trend_wm_max_recent_v2
DPS,ICN,196646.0,3781.6538,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,DPS,196543.0,3779.6731,8,2015,2025,kr_trend_wm_max_recent_v2
FCO,ICN,189399.62,3642.3003,8,2015,2025,kr_trend_wm_max_recent_v2
HKG,PUS,188413.38,3623.3342,8,2015,2025,kr_trend_wm_max_recent_v2
SVO,ICN,186863.0,3593.5192,5,2015,2019,kr_trend_wm_max_recent_v2
ICN,YVR,186765.52,3591.6445,8,2015,2025,kr_trend_wm_max_recent_v2
PVG,PUS,185826.66,3573.5896,8,2015,2025,kr_trend_wm_max_recent_v2
PUS,HKG,184665.8,3551.2653,8,2015,2025,kr_trend_wm_max_recent_v2
PUS,PVG,183267.48,3524.3746,8,2015,2025,kr_trend_wm_max_recent_v2
YVR,ICN,182134.28,3502.5823,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,FCO,180682.11,3474.6559,8,2015,2025,kr_trend_wm_max_recent_v2
ICN,SVO,176968.0,3403.2308,5,2015,2019,kr_trend_wm_max_recent_v2
HND,ICN,175298.0,3371.1154,8,2015,2025,kr_trend_wm_max_recent_v2
